x , psi, probabilty
9.2e-10,-0.481754,0.232087
9.25e-10,-0.45399,0.206107
9.3e-10,-0.425779,0.181288
9.35e-10,-0.397148,0.157726
9.4e-10,-0.368125,0.135516
9.45e-10,-0.338738,0.114743
9.5e-10,-0.309017,0.0954915
9.55e-10,-0.278991,0.077836
9.6e-10,-0.24869,0.0618467
9.65e-10,-0.218143,0.0475865
9.7e-10,-0.187381,0.0351118
9.75e-10,-0.156434,0.0244717
9.8e-10,-0.125333,0.0157084
9.85e-10,-0.0941083,0.00885637
9.9e-10,-0.0627905,0.00394265
9.95e-10,-0.0314108,0.000986636
1e-09,-2.44929e-16,5.99904e-32
